timestamp,avg_cpu_percent,num_processes,io_bytes_sec,context_switches_sec,memory_percent,suggested_TQ_ms
2025-03-29 15:18:11,9.4,425,0,90,78.8,5
2025-03-29 15:18:12,7.4,425,0,20,78.8,5
2025-03-29 15:18:13,1.2,425,0,0,78.7,5
2025-03-29 15:18:14,21.2,424,0,5720,78.8,10.6
2025-03-29 15:18:15,6.3,424,0,350,78.8,5
2025-03-29 15:18:16,4.9,424,0,70,78.8,5
2025-03-29 15:18:17,2.5,424,0,0,78.8,5
2025-03-29 15:18:18,7.3,424,0,1790,78.7,5
2025-03-29 15:18:19,10.8,424,0,-600,78.7,5.4
2025-03-29 15:18:20,4.9,424,0,10,78.7,5
2025-03-29 15:18:21,17.3,424,9502720,0,78.7,8.65
2025-03-29 15:18:22,2.5,424,0,20,78.8,5
2025-03-29 15:18:23,8.7,424,2785280,-410,78.8,5
2025-03-29 15:18:24,16.0,423,204800,-100,78.8,8.0
2025-03-29 15:18:25,12.8,423,0,480,78.8,6.4
2025-03-29 15:18:26,13.3,423,0,410,78.8,6.65
2025-03-29 15:18:27,7.8,423,1597440,430,78.8,5
2025-03-29 15:18:28,13.6,423,0,-450,78.8,6.8
2025-03-29 15:18:29,14.6,423,0,150,78.8,7.3
2025-03-29 15:18:30,9.9,423,3440640,-440,78.7,5
2025-03-29 15:18:31,8.6,423,0,900,78.7,5
2025-03-29 15:18:32,56.2,423,0,-620,78.4,28.1
2025-03-29 15:18:33,8.6,423,0,-500,78.5,5
2025-03-29 15:18:34,12.3,423,1966080,-240,78.5,6.15
2025-03-29 15:18:35,11.1,423,0,210,78.4,5.55
